镈 镈 [bo2] /ancien instrument de musique en forme de cloche/binette/bêche/
镉 镉 [ge2] /cadmium/
镊 镊 [nie4] /petites pinces/pincettes/mouchettes/
镌 镌 [juan1] /graver/ciseau/tailler/réduire/
简 简 [jian3] /simple/simplifié/lettre/
镍 镍 [nie4] /nickel/
镎 镎 [na2] /neptunium/
镏 镏 [liu2] /Lutécium/
镐 镐 [hao4] /lumineux/nom de lieu/poêle/
镑 镑 [bang4] /livre (monnaie)/
镒 镒 [yi4] /ancienne unité de poids (16 à 30 onces)/
镓 镓 [jia1] /gallium/
总 总 [zong3] /général/chef/total/toujours/en fin de compte/tôt ou tard/qu'importe.../en tout cas/réunir/rassembler/
镔 镔 [bin1] /acier inoxydable/
怼 怼 [dui3] /attaquer verbalement/critiquer publiquement/
镕 镕 [rong2] /fusion (physique)/
镖 镖 [biao1] /dard/arme de jet/escorter/
镗 镗 [tang1] /bruit de gong, etc./
怿 怿 [yi4] /joyeux/réjoui/
镘 镘 [man4] /truelle/crépir/
镚 镚 [beng4] /petite pièce de monnaie/dime/
镜 镜 [jing4] /miroir/verre/lunettes/
镝 镝 [di2] /dysprosium/
镞 镞 [zu2] /pointe de flèche/
镟 镟 [xuan4] /tour de tourneur/
箓 箓 [lu4] /amulette/
镡 镡 [tan2] /urne/
镢 镢 [jue2] /pioche/binette/
镣 镣 [liao4] /fers/chaines/
镤 镤 [pu2] /protactinium/
镥 镥 [lu3] /lutécium/
镦 镦 [dun1] /lourde masse pour damer/
镧 镧 [lan2] /lanthane/
镨 镨 [pu3] /praséodyme/
镪 镪 [qiang3] /(argent)/chaine de pièces de monnaie/
恋 恋 [lian4] /amour/s'attacher/aimer profondément/
镫 镫 [deng4] /étrier/
镬 镬 [huo4] /Wok/
镭 镭 [lei2] /radium/
镮 镮 [huan2] /(ancien poids)/anneau en métal/
镯 镯 [zhuo2] /bracelet/
镰 镰 [lian2] /faucille/
镱 镱 [yi4] /ytterbium/
镲 镲 [cha3] /China (cymbale)/
镳 镳 [biao1] /mors et bride/
箧 箧 [qie4] /malle/
镴 镴 [la4] /étain blanc et dur/
箨 箨 [tuo4] /enveloppe des pousses de bambou/écorce/
箩 箩 [luo2] /panier/manne/(argot) fessier/
镶 镶 [xiang1] /incruster/monter/insérer/border/incrustation/
箪 箪 [dan1] /corbeille/panier rond pour le riz cuit/
箫 箫 [xiao1] /flute de Pan/
长 长 [zhang3] /chef/ainé/grandir/développer/croitre/accroitre/renforcer/
恤 恤 [xu4] /avoir pitié de/secourir/aider/
恪 恪 [ke4] /respect/soin/
恳 恳 [ken3] /sincère/
恶 恶 [wu4] /haïr/détestable/
恸 恸 [tong4] /chagrin/peine/douleur/
恹 恹 [yan1] /paisible/satisfait/
恺 恺 [kai3] /joie/bon/
恻 恻 [ce4] /compatir/pitié/
恼 恼 [nao3] /se fâcher/être mécontent/se troubler/
恽 恽 [Yun4] /(nom de famille)/
恿 恿 [yong3] /brave/bravoure/audace/
篑 篑 [kui4] /panier/
篓 篓 [lou3] /manne/corbeille/
悍 悍 [han4] /courageux/féroce/
篡 篡 [cuan4] /révolte/usurper/
悖 悖 [bei4] /pervers/rebelle/contraire à/opposé à/inexact/erroné/paradoxe/
篮 篮 [lan2] /panier/corbeille/
篯 篯 [Jian1] /(nom de famille)/
篱 篱 [li2] /clôture en bambou/
悦 悦 [yue4] /plaire à/content/joyeux/
悫 悫 [que4] /honnête/
悬 悬 [xuan2] /suspendu/en suspens/suspendre/pendre/
悭 悭 [qian1] /avare/donner peu/
悯 悯 [min3] /peine/chagrin/sympathiser avec/
悴 悴 [cui4] /triste/
簖 簖 [duan4] /barrage en bambou/piège à poissons/
门 门 [men2] /porte/entrée/voie/moyen/famille (classification)/école de pensée/classe/catégorie/(classificateur pour les branches du savoir, les domaines de la connaissance, les sciences, les techniques)/
闩 闩 [shuan1] /barre de porte/loquet/verrou/
惊 惊 [jing1] /être effrayé/prendre/surprendre/
闪 闪 [shan3] /s'esquiver/quitter/briller/étinceler/
闫 闫 [Yan2] /(nom de famille)/
闬 闬 [han4] /porte d'un village/
闭 闭 [bi4] /fermer/clore/arrêter/faire obstruction/
问 问 [wen4] /demander/se renseigner/questionner/interroger/
闯 闯 [chuang3] /faire irruption/se lancer/se précipiter/se tremper/s'aguerrir/
闰 闰 [run4] /mois intercalaire/
闱 闱 [wei2] /portes du palais/portes de l'appartement des femmes/
闲 闲 [xian2] /oisif/libre/inoccupé/au repos/
闳 闳 [hong2] /porte/barrière/large/vaste/étendu/
间 间 [jian1] /intervalle/travée/durant/pièce (d'une maison, etc.)/chambre/(classificateur des maisons et des chambres)/
闵 闵 [min3] /pitié/
簪 簪 [zan1] /épingle à tête plate/épingle à cheveux/
闷 闷 [men4] /mélancolique/
闸 闸 [zha2] /écluse/vanne/frein/
闹 闹 [nao4] /bruyant/animé/faire du bruit/faire du tapage/troubler/souffrir de/
闺 闺 [gui1] /chambre de femme/petite porte voutée/boudoir/
闻 闻 [wen2] /entendre/sentir (une odeur)/information/
闽 闽 [Min3] /autre nom de la province de Fujian/
闾 闾 [lu:2] /portail à l'entrée d'une ruelle ou d'un village/
闿 闿 [kai3] /desserrer/ouvrir/
